Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.600000,3.960000,2.420000,3.520000,3.850000,2.610000,2.770000,1.140000,-2.650000,2.690000,2.200000,2.760000,2.080000,2.720000,4.190000,3.900000,4.490000,4.160000,2.730000,3.870000,4.890000,6.380000,3.890000,5.660000,6.310000,6.090000,3.940000,3.870000,6.000000
3B Blackbio Dx Ltd.,0.030000,0.050000,0.130000,0.180000,0.050000,0.090000,0.010000,0.120000,0.040000,0.100000,0.040000,0.040000,0.040000,0.060000,0.030000,0,0,0.070000,0.040000,0,0.010000,0.030000,0.070000,0,0.130000,0.160000,0.050000,0.030000,0.160000,0.420000,0.090000,0.420000,0.340000,0.500000,0.130000,0.740000,0.550000,0.530000,0.450000,0.840000,9.070000,20.040000,6.610000,2.440000,4.640000,1.820000,1.750000,2.820000,1.500000,2.520000,2.180000,3.160000,1.980000,2.670000,2.640000,4.940000,3.060000,4.440000,4.300000,4.500000,3.220000
3I Infotech Ltd.,5.060000,4.300000,0,0,4.730000,3.540000,24.330000,48.170000,2.340000,3.290000,2.340000,6.070000,3.470000,11.100000,4.610000,0,5.090000,6.430000,0,0.820000,0.950000,12.850000,6.560000,92.800000,0.540000,0.530000,4.010000,3.430000,1.290000,1.440000,1.300000,4.330000,2.390000,1.760000,3.680000,3.130000,2.360000,4.640000,3.960000,2.470000,1.550000,3.660000,4.930000,12.930000,1.070000,0.890000,3.110000,0,1.140000,0,1.520000,1.710000,1.500000,0.890000,10.960000,22.900000,2.460000,3.160000,1.250000,0,4.550000
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.610000,55.200000,54.570000,37.370000,58.980000,33.480000,48.420000,25.630000,24.490000,11.860000,-15.320000,27.110000,21.350000,24.410000,10.420000,22.400000,22.240000,40.500000,28.840000,36.450000,42.530000,48.590000,44.050000,49.800000,45.990000,57.960000,53.820000,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,-0.300000,0,0,0.960000,-0.660000,0.040000,0.030000,0.030000,1.230000,0.070000,0.200000,0.080000,0.080000,0.080000,0.260000,0.090000,0.090000,0.090000,0.270000,0.130000,0.120000,0.130000,0.330000,0.130000,0.080000,0.120000
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020000,0.040000,0.040000,0.040000,0,0.090000,0.080000,0.080000,-0.010000,0,0,0,0.520000,0,0,0.620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.320000,1.140000,5.350000,0,0,57.040000,0.120000,0.340000,0,0.950000,0.480000,0.840000,0.200000,0,0,2.530000,0.100000,0,17.110000,66.100000,12.160000,16.430000,8.610000,0,0.130000,0,0,3.920000,3.130000
7Seas Entertainment Ltd.,0.030000,0.050000,0.080000,0.230000,0.200000,0.350000,0.470000,0.510000,0.560000,0.100000,0.240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,23.770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.920000,33.880000,0,0,0,0,0,0,0,0,0,121.190000,50.660000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500000,0.570000,0.830000,0.550000,0.570000,1.470000,1.590000
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680000,0,0,1.500000,0.200000,0,0.280000,0.310000,0.010000,0,0,0,-2.230000,0,0,0,-1.160000,0,0,0,-0.500000,0
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770000,2.080000,1.660000,1.410000,0.770000,0.250000,1.060000,1.830000,2.030000,2.030000,1.790000,1.190000,1.500000,1.720000,0.660000,0.290000,0.660000,1.650000,1.420000,0.240000,0.890000,1.070000,0.490000,2.010000,0.850000,1.130000,1.940000,1.060000,1.440000
A C C Ltd.,143.720000,43.740000,135.390000,132.930000,147.810000,63.800000,0,58.660000,182.520000,109.770000,40.130000,148.360000,109.000000,51.240000,40.060000,99.170000,98.420000,68.380000,12.120000,78.180000,46.360000,39.110000,26.330000,94.370000,83.020000,44.510000,43.580000,80.880000,155.640000,84.890000,95.250000,125.350000,154.400000,98.850000,111.520000,354.250000,216.950000,140.930000,140.030000,153.060000,132.160000,176.820000,204.190000,191.620000,188.840000,159.740000,103.080000,135.950000,77.540000,-2.020000,39.260000,95.690000,159.410000,131.520000,191.640000,107.930000,124.320000,84.340000,364.650000,143.490000,187.030000
A C S Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030000,0.030000,-0.030000,0.000000,-0.650000,0.000000,0.020000,0.390000,0.420000,0.180000
A D F Foods Ltd.,0.580000,0.860000,0.160000,0.160000,1.030000,1.850000,1.080000,0.250000,1.350000,1.150000,0.160000,0.910000,1.840000,1.410000,0,0,1.440000,0.530000,0.150000,0.730000,1.240000,0.980000,0.610000,1.400000,2.370000,1.570000,2.320000,1.270000,1.730000,2.870000,7.710000,1.660000,2.940000,4.810000,2.200000,3.240000,3.920000,3.990000,0.280000,4.030000,2.660000,4.290000,4.230000,5.450000,3.200000,5.150000,4.260000,4.010000,1.660000,4.260000,6.910000,8.750000,5.550000,5.640000,7.060000,7.330000,5.170000,6.570000,6.760000,4.500000,5.860000
A F Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560000,0.010000,0.070000,0,0.460000,0.740000,0.270000,0.030000,0.140000,0,-0.180000,0.010000,0.440000,0,0,0,0,0
A G I Greenpac Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.160000,23.600000,30.070000,29.450000,28.940000
A G Ventures Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.240000,7.080000,8.610000,7.230000,-3.230000,4.660000,1.500000,4.910000,0.690000,6.360000,7.890000,2.470000,4.140000,5.510000,2.810000,4.670000,5.170000,3.980000,3.340000,4.320000,0.640000,3.740000,0.360000,-0.090000,0.650000,3.270000,1.100000,0.310000,0.620000
A I A Engineering Ltd.,14.110000,14.570000,16.250000,18.000000,14.980000,17.800000,13.890000,24.860000,22.650000,9.920000,23.930000,23.450000,31.730000,32.570000,25.810000,44.130000,42.620000,36.770000,41.500000,42.530000,48.400000,46.190000,49.930000,39.550000,45.030000,55.770000,56.770000,47.260000,40.490000,29.910000,29.220000,53.830000,52.550000,54.740000,41.360000,36.830000,42.660000,27.070000,36.070000,43.330000,42.390000,43.340000,41.600000,36.620000,37.420000,37.100000,39.060000,49.580000,54.470000,70.780000,96.210000,78.680000,89.980000,88.390000,83.020000,83.250000,80.130000,80.980000,72.340000,69.180000,80.330000
A I Champdany Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070000,-0.160000,-0.160000,0.020000,-0.070000,0.090000,0.050000,0.600000,0,-2.640000,0.840000,1.980000,0,-0.100000,-0.030000,-3.800000,-0.150000,-0.270000,-0.300000,-3.180000,1.050000,0,0,-4.000000,0.870000,0,0,0,0
A J R Infra & Tolling Ltd.,1.680000,5.130000,4.130000,0,2.890000,0.630000,3.910000,4.100000,4.770000,7.590000,0,0,0,0.410000,1.350000,1.440000,0,-22.960000,15.200000,0,4.980000,0,0,15.490000,0,0,0,0,0,0,0,0,-13.840000,-13.800000,-14.300000,-12.040000,3.640000,4.250000,3.390000,1.350000,0.210000,-0.940000,4.450000,29.050000,1.790000,1.900000,1.490000,0.790000,0.640000,0.700000,0.760000,1.670000,0.840000,0.770000,0.780000,-1.210000,-4.710000,0,0.020000,1.580000,0
A K Capital Services Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.310000,4.950000,11.040000,3.720000,8.840000,-2.040000,5.440000,3.960000,5.430000,9.640000,8.050000,5.490000,6.220000,6.710000,7.590000,5.730000,7.160000,8.430000,7.910000,6.490000,7.650000,7.030000,6.120000,10.230000,7.880000,6.120000,5.380000,4.070000,7.980000
A M J Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770000,0.890000,0.240000,0.420000,0.150000,0.130000,0.860000,0.060000,0.090000,0.650000,0.740000,0.680000,0.270000,0.280000,0.170000,2.330000,1.120000,1.020000,0.170000,1.120000,1.220000,1.440000,0.360000,1.630000,2.020000,1.630000,1.200000,5.990000,1.830000
A N S Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A P L Apollo Tubes Ltd.,3.510000,4.930000,5.690000,7.320000,6.300000,4.000000,4.950000,8.190000,7.990000,8.190000,9.220000,10.970000,9.350000,5.970000,6.640000,8.030000,9.830000,8.940000,9.650000,5.510000,11.150000,10.490000,15.490000,24.020000,23.390000,15.760000,15.040000,8.450000,19.500000,21.570000,20.450000,24.690000,23.900000,14.320000,6.760000,33.610000,28.910000,8.900000,27.670000,19.110000,8.210000,35.440000,50.740000,43.170000,57.150000,49.510000,44.180000,62.500000,42.240000,52.070000,59.800000,67.340000,67.230000,73.790000,54.590000,50.780000,58.850000,15.780000,65.780000,78.920000,72.780000
A S I Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.770000,1.430000,-0.380000,5.140000,6.840000,3.430000,-0.370000,2.120000,5.000000,4.480000,0.050000,0.620000,5.940000,5.270000,-0.120000,0.500000,2.610000,3.530000,0.190000,0.770000,4.620000,2.150000,-0.170000,0.040000,-1.550000,0.480000,2.290000,2.250000,0.030000,0.750000,0.270000,2.120000,-4.990000,0.810000,0.050000,3.230000,0,0,0,0,0,0,0,0,0,0
A S K Automotive Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.880000,9.720000,9.310000,12.810000,15.640000,15.750000,12.130000,19.140000,22.210000,20.020000,18.390000,21.110000
A S M Technologies Ltd.,0.550000,0.550000,0.440000,0.790000,0.840000,1.090000,1.190000,0.310000,0.820000,1.270000,0.860000,0.990000,1.160000,0.990000,1.000000,0.930000,1.600000,1.080000,0.900000,1.100000,1.850000,1.630000,1.560000,2.310000,0.730000,0.660000,1.030000,0.650000,0.740000,1.090000,0.990000,0.730000,1.230000,0.250000,-1.350000,2.150000,-0.200000,-0.150000,0.030000,1.490000,1.490000,1.190000,0.890000,1.580000,0.750000,1.850000,2.070000,0.080000,1.430000,1.520000,2.870000,-1.610000,-0.160000,-0.250000,-2.090000,0.400000,-1.160000,1.540000,2.510000,6.250000,5.800000
A V T Natural Products Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.930000,1.360000,1.740000,4.990000,0.270000,4.710000,5.130000,0.670000,2.650000,2.440000,5.670000,4.510000,5.090000,5.330000,9.870000,3.500000,8.220000,8.360000,6.770000,3.780000,1.900000,4.200000,7.790000,3.900000,1.960000,1.300000,6.290000,5.340000,2.740000
A W L Agri Business Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.060000,26.800000,58.360000,61.240000,85.770000,79.590000,62.430000,27.710000,108.150000,36.830000,-7.970000,0.820000,74.910000,56.380000,106.540000,120.480000,153.130000,57.120000,78.830000
A Y M Syntex Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.980000,0.500000,0.280000,0.020000,-6.370000,-2.750000,-0.580000,8.980000,1.280000,2.100000,1.810000,2.540000,-2.000000
Aadhar Housing Finance Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.860000,72.860000,57.250000,68.360000,56.850000,75.780000,78.240000,87.020000,77.460000,94.590000
Aarcon Facilities Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aartech Solonics Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010000,0.170000,0.140000,0.340000,0.280000,0.000000,0.120000,0.830000,0.470000,0.160000,0.060000,-0.600000,0.340000
Aarti Drugs Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.500000,7.000000,5.750000,6.300000,8.610000,10.540000,8.270000,8.810000,5.340000,10.940000,11.700000,14.230000,10.340000,8.680000,9.940000,13.390000,11.190000,15.560000,15.300000,-5.440000,30.830000,21.850000,22.340000,13.610000,15.870000,13.510000,20.410000,15.180000,13.250000,14.460000,13.010000,17.100000,15.570000,16.670000,14.840000,16.870000,10.710000,10.920000,13.660000,18.950000,12.030000
Aarti Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.980000,33.800000,34.360000,36.450000,31.110000,36.110000,25.370000,21.700000,33.660000,40.260000,33.710000,41.900000,44.700000,95.100000,27.000000,31.000000,25.930000,23.000000,3.000000,2.000000,-9.000000,-7.000000,-6.000000,8.000000,-17.000000,-6.000000,-4.000000,-2.000000
Aarvee Denims & Exports Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320000,0.510000,0.140000,-0.340000,-0.210000,0.430000,0.190000,-14.020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarvi Encon Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730000,0,0.000000,0.220000,0.140000,0.230000,0.380000,1.140000,-0.080000,0,0.010000,0,0.070000,0.030000,0.090000,0.400000,0.640000,0.350000,0.230000,0.010000,0.170000,0.210000,-0.150000,0.460000,0.660000,0.220000
Aayush Wellness Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040000,0,0,0,0.010000,0
Aban Offshore Ltd.,67.780000,75.740000,55.730000,53.820000,30.750000,28.640000,34.370000,4.960000,19.990000,25.560000,46.290000,50.000000,17.040000,31.610000,55.470000,50.410000,39.490000,28.760000,37.970000,87.550000,72.750000,68.920000,54.940000,17.810000,40.040000,47.650000,42.640000,40.510000,15.870000,17.400000,7.600000,47.190000,15.590000,11.420000,6.720000,20.220000,-51.760000,-63.040000,-4.100000,-291.430000,5.530000,1.420000,6.100000,-21.920000,10.750000,2.410000,12.420000,-1.490000,1.200000,13.210000,5.850000,7.980000,8.050000,1.520000,2.700000,8.430000,6.600000,5.190000,6.700000,6.360000,6.410000
Abans Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.210000,0,0.210000,0.260000,0.740000,-0.290000,0.110000,-0.010000,-0.450000,1.210000,-0.450000,0.160000,0.170000,1.370000,-2.300000,1.510000,1.350000,0.100000,1.790000,-0.620000,3.710000,6.360000,0.460000,11.360000,1.450000,5.760000,9.040000
Abate A S Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010000,0.160000
Abhishek Infraventures Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accedere Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020000,0,0,0,0.010000,0,0,0,-0.010000,0,0,0,0,0,0,0,-0.020000,0,0,0,0.020000,0,0.030000,0.030000,0,0.020000
Accel Ltd.,0.110000,-0.370000,0.320000,-0.050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020000,0,0.190000,0.280000,0,0,0.210000,0.380000,0,0,0.290000,0.820000,4.210000,0.010000,0.220000,0.410000,0.510000,0.300000,0.250000,0.080000,1.700000,0.410000
Accelya Solutions India Ltd.,0.110000,0.230000,0.940000,1.290000,1.940000,5.320000,3.940000,3.930000,6.260000,9.350000,10.140000,10.740000,8.500000,7.690000,10.220000,15.950000,9.090000,8.420000,9.290000,9.630000,12.000000,8.910000,10.600000,12.770000,12.510000,15.080000,12.060000,14.480000,11.560000,12.670000,15.080000,10.720000,10.720000,14.430000,15.440000,14.210000,11.540000,13.840000,9.740000,8.600000,1.360000,2.720000,4.610000,1.570000,6.680000,4.960000,5.950000,6.960000,9.170000,10.790000,8.300000,13.210000,11.420000,10.770000,9.110000,11.630000,10.740000,11.110000,11.440000,11.480000,11.560000
Ace Software Exports Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000,0,0,0,0.000000,0,0,0,0.050000,0,0,0,0,0,0,0,0.010000,0,0,0,0.440000,0,0,0,0.890000,0
Acme Resources Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210000,0.100000,0.090000,2.120000,0.540000,3.700000,-0.660000,-3.000000,1.330000,1.190000,-0.410000,16.330000,1.780000,0.030000,0.420000,0.640000,0.350000,0.580000,0.260000,0.780000,0.500000,2.840000,0.960000,0.990000,0.500000,0.360000,0.510000,2.460000,0.510000
Ad-Manum Finance Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000,0,0,0,0.090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adani Enterprises Ltd.,73.560000,55.220000,85.760000,232.650000,94.180000,113.600000,150.510000,130.180000,107.200000,282.740000,160.130000,237.590000,88.770000,80.450000,186.170000,0,148.970000,64.510000,45.750000,106.160000,32.010000,0,66.250000,4.690000,75.820000,43.910000,78.250000,75.550000,39.580000,-8.520000,30.240000,71.060000,-23.130000,-18.870000,59.650000,127.320000,271.930000,-25.770000,117.950000,-33.170000,11.110000,124.310000,117.810000,86.420000,182.760000,66.830000,13.790000,213.300000,221.740000,231.310000,142.990000,449.320000,360.730000,397.820000,442.840000,430.120000,583.600000,512.370000,588.440000,1284.110000,571.250000
Adani Ports & Special Economic Zone Ltd.,0,0,0,0,16.990000,33.960000,23.090000,18.710000,14.960000,40.490000,26.330000,41.300000,25.430000,76.370000,38.560000,96.380000,66.590000,68.870000,1.130000,40.130000,64.220000,49.600000,62.100000,106.990000,61.000000,82.180000,131.590000,11.860000,329.350000,380.890000,437.810000,396.130000,225.000000,185.320000,401.950000,269.200000,333.280000,122.820000,382.440000,-13.980000,185.110000,403.830000,435.970000,218.360000,139.400000,214.960000,268.810000,140.130000,-70.940000,162.580000,227.390000,-221.500000,371.360000,303.890000,533.120000,326.210000,485.420000,472.630000,501.480000,508.830000,537.000000
Adani Power Ltd.,0,0,0,0,48.780000,47.830000,71.930000,126.300000,70.430000,171.130000,94.410000,140.820000,100.120000,90.330000,131.150000,0,0,0,0,0,0,0,0,73.190000,-61.730000,-3.090000,-6.020000,-15.230000,-1.140000,0.390000,-3.740000,3.260000,72.030000,314.990000,340.280000,-326.170000,141.640000,154.100000,53.850000,-117.590000,48.840000,673.960000,82.990000,227.520000,171.490000,20.690000,-14.150000,1487.630000,1086.340000,50.820000,202.980000,-2702.690000,40.200000,-1370.600000,472.420000,806.790000,992.720000,836.560000,1118.550000,1099.050000,899.180000
Addi Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,-0.180000,-0.010000,-0.020000,-0.030000,-0.010000,0.030000,-0.020000,-0.080000,-0.030000,-0.030000,0.030000,-0.080000,0.300000,0.020000,0.040000,-0.010000,0.090000,0,0,0,0,0.100000,0,0.040000,-0.070000,-0.010000,0,-0.030000,-0.070000,-0.200000,-0.010000,-0.190000,-1.210000,5.260000,3.050000,1.040000,-0.970000,3.870000,0.070000,0.190000,0.090000,0.220000,0.290000,0.250000,0.770000,0.260000,0.250000,0.510000,0.300000,0.270000
Adhata Global Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Birla Money Ltd.,1.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680000,0,0,0,0.810000,0.120000,1.070000,0.750000,1.100000,0.560000,1.130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Birla Real Estate Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.320000,63.130000,49.280000,89.620000,45.240000,36.760000,35.000000,63.310000,-12.070000,1.660000,16.840000,11.380000,21.970000,29.870000,21.510000,10.680000,30.340000,45.880000,14.450000,64.080000,32.730000,35.880000,53.380000,39.230000,12.470000,14.040000,-7.430000,-41.920000,-5.800000
Aditya Birla Sun Life A M C Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.780000,38.500000,47.340000,51.060000,50.950000,63.480000,62.740000,44.990000,37.970000,57.730000,56.400000,45.070000,55.730000,58.700000,54.230000,59.240000,68.800000,92.750000,75.240000,76.480000,95.170000
Aditya Forge Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Infotech Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.930000,0,0,19.260000,11.180000
Ador Multiproducts Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290000,0,0,0,0,0,0,0,0,0.580000,0,0,0,-0.020000,-0.020000,-0.060000,-0.080000,0.150000,-0.010000,-0.100000,-0.090000,-0.150000,0,0.710000,0,0.390000,0,0,0,0.130000,0,0,0,0.060000,0,0,0,0.710000,0,0,0,-0.020000,0
Ador Welding Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.590000,3.560000,3.000000,2.830000,3.140000,-1.310000,2.590000,0.320000,-0.040000,-2.900000,1.570000,21.710000,2.330000,3.080000,3.620000,12.220000,3.440000,3.360000,5.630000,0,5.870000,8.950000,7.120000,8.150000,7.000000,3.640000,5.870000,11.010000,-1.090000
Adroit Infotech Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.360000,1.760000,0.870000,0,0.490000,0.450000,0.490000,-0.120000,0,0,0,-0.060000,0,0,0,16.840000,0,0,0,0.030000,0.230000,0.120000,0,-0.010000,0,0.250000,0.390000,-0.380000,0.050000,-0.510000,0.400000,0.760000,0.060000,0.060000,0.180000,0.680000,0.320000
Advance Lifestyles Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
