Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
20 Microns Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.660000,0,39.030000,0,38.920000,0,27.330000,0,23.680000,0,30.020000,0,29.520000,0,28.040000,0,22.810000,0,19.860000,0,16.140000,0,0,0,32.160000,0
3B Blackbio Dx Ltd.,0,0,0,1.090000,0,0,0,1.420000,0,1.360000,0,0,0,1.610000,0,0,0,2.580000,0,0,0,2.150000,0,2.670000,0,3.130000,0,2.940000,0,3.540000,0,2.300000,0,2.090000,0,2.140000,0,1.510000,0,1.460000,0,1.120000,0,1.020000,0,1.070000,0,0.840000,0,0.960000,0,0.910000,0,0.730000,0,0.790000,0,0.720000,0,0.310000,0
3I Infotech Ltd.,0,0,0,1450.330000,0,0,0,1948.080000,0,1839.650000,0,1970.560000,0,1986.070000,0,2058.890000,0,1940.160000,0,1860.330000,0,1801.970000,0,872.830000,0,892.470000,0,902.940000,0,875.060000,0,824.680000,0,839.620000,0,813.700000,0,866.020000,0,808.920000,0,791.940000,0,541.350000,0,133.500000,0,50.770000,0,44.600000,0,46.290000,0,45.280000,0,27.560000,0,32.830000,0,22.670000,0
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.240000,0,0,0,7.610000,0,16.800000,0,17.640000,0,14.730000,0,10.430000,0,12.540000,0,6.840000,0,8.660000,0,13.590000,0,12.520000,0,8.770000,0,0,0,0,0
3P Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52 Weeks Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.240000,0,0,0,10.690000,0,10.690000,0,10.870000,0,10.910000,0,0.080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Moons Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.570000,0,0,0,0,0,0,0,0.390000,0,0.430000,0,0.130000,0,0.880000,0,2.590000,0,3.500000,0,2.660000,0,3.570000,0,1.630000,0
7Seas Entertainment Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B B India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.030000,0,0,0,0,0,0,0,0,0,0,0,17.500000,0,0,0,0,0,0,0,0,0,0,0,0
A B Cotspin India Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.000000,0,0,0,70.160000,0
A B M International Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B M Knowledgeware Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A C C Ltd.,0,0,0,0,0,0,506.080000,0,506.080000,0,85.030000,0,35.030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.640000,0,83.980000,0,99.070000,0,101.370000,101.370000,98.170000,0,104.270000,125.680000,0,281.920000,0,223.760000,0,317.740000,0,280.890000,0
A C S Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.810000,0,0,0,8.600000,0,7.620000,0,5.240000,0,7.530000,0,6.150000,0
A D F Foods Ltd.,0,0,0,17.200000,0,0,0,17.830000,0,0,0,12.960000,0,10.000000,0,6.740000,0,6.310000,0,2.070000,0,1.510000,0,0.260000,0,0.120000,0,0.100000,0,0.060000,0,0.030000,0,0,0,0,0,0,0,0,0,0,0,0,0,7.420000,0,60.210000,0,54.350000,0,49.550000,0,52.220000,0,48.700000,0,50.500000,0,50.940000,0
A F Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.430000,0,4.360000,0,6.510000,0,0,0,5.510000,0,4.540000,0,6.640000,0,6.290000,0,0,0
A G I Greenpac Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.610000,0,378.520000,0
A G Ventures Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.680000,0,73.610000,0,102.070000,0,103.130000,0,118.670000,0,122.800000,0,100.280000,0,90.790000,0,79.380000,0,63.400000,0,0.250000,0,1.660000,0,1.230000,0
A I A Engineering Ltd.,0,0,0,8.180000,0,0,0,7.120000,0,7.370000,0,106.330000,0,108.020000,0,86.720000,0,74.730000,0,55.070000,0,41.170000,0,25.290000,0,8.630000,0,0.340000,0,0,0,0.200000,0,0,0,15.000000,0,22.390000,0,10.570000,0,5.740000,0,5.770000,0,4.690000,0,4.690000,0,4.080000,0,3.000000,0,1.900000,0,3.410000,0,1.840000,0,2.000000,0
A I Champdany Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.090000,0,136.510000,0,22.350000,0,25.480000,0,28.730000,0,28.640000,0,25.760000,0,25.890000,0,23.520000,0,0,0,0,0,0,0,0,0
A J R Infra & Tolling Ltd.,0,0,0,2377.830000,0,0,0,3038.850000,0,3460.850000,0,3611.720000,0,3686.090000,0,0,3663.970000,3501.250000,0,3501.250000,0,3664.660000,0,2510.770000,0,0,0,0,0,0,0,0,0,0,0,1457.960000,0,1341.360000,0,403.920000,0,393.360000,0,476.550000,0,400.810000,0,2.540000,0,47.520000,0,64.700000,0,68.170000,0,35.950000,0,0,0,0,0
A K Capital Services Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A M J Land Holdings Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.900000,0,7.560000,0,7.610000,0,3.750000,0,3.450000,0,0,0,5.000000,0,5.000000,0,15.000000,0,9.380000,0,5.630000,0,0,0
A N S Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A P L Apollo Tubes Ltd.,0,0,0,0,0,0,0,0,0,85.280000,0,84.250000,0,80.230000,0,137.180000,0,120.310000,0,140.620000,0,230.940000,0,187.590000,0,0,0,104.920000,0,90.860000,0,78.200000,0,148.780000,0,174.520000,0,255.440000,0,404.440000,0,278.200000,0,183.470000,0,150.920000,0,347.180000,0,442.070000,0,408.130000,0,612.880000,0,805.610000,0,519.590000,0,428.100000,0
A S I Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.900000,0,0,0,42.340000,0,129.280000,0,127.680000,0,125.040000,0,111.550000,0,104.700000,0,105.030000,0,109.710000,0,135.050000,0,143.910000,0,144.970000,0,146.900000,0,159.550000,0,150.160000,0,85.470000,0,7.280000,0,0,0,0,0,0,0,0,0,0,0
A S K Automotive Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.500000,0,284.670000,0,269.250000,0,311.530000,0,318.000000,0
A S M Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.590000,0,0,0,0,0,0,0,0.170000,0,0,0,0.050000,0,1.610000,0,4.800000,0,11.520000,0,7.790000,0,6.850000,0,12.680000,0,16.340000,0,28.950000,0,37.580000,0,37.030000,0,20.880000,0,15.130000,0
A V T Natural Products Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.910000,0,17.380000,0,14.080000,0,14.080000,0,10.710000,0,9.010000,0,7.310000,0,15.950000,0,10.470000,0,10.340000,0,10.120000,0,6.700000,0,6.080000,0
A W L Agri Business Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097.580000,0,0,0,144.440000,0,150.830000,0,118.540000,0,131.490000,0,135.350000,0,239.810000,0,364.250000,0
A Y M Syntex Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.760000,0,153.330000,0,138.820000,0,127.850000,0,105.110000,0,58.720000,0
Aadhar Housing Finance Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarcon Facilities Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aartech Solonics Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000,0,0.110000,0,0.060000,0,0.060000,0,0,0
Aarti Drugs Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.420000,0,191.230000,0,191.440000,0,201.550000,0,192.090000,0,202.700000,0,198.100000,0,208.210000,0,198.260000,0,180.310000,0,157.110000,0,151.140000,0,131.170000,0,140.380000,0,137.430000,0,205.080000,0,212.620000,0,276.240000,0,289.220000,0,285.650000,0
Aarti Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814.800000,0,645.360000,0,580.840000,0,1044.070000,0,1268.050000,0,1090.550000,0,945.000000,0,794.620000,0,660.000000,0,1438.000000,0,1573.000000,0,1701.000000,0,1914.000000,0
Aarvee Denims & Exports Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.560000,0,130.430000,0,141.770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarvi Encon Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850000,0,0,0,0.540000,0.070000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.860000,4.660000,0,3.330000,0
Aayush Wellness Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000,0
Aban Offshore Ltd.,0,0,0,9712.860000,0,0,0,11144.370000,0,11710.040000,0,11361.360000,0,12534.240000,0,11050.830000,0,13170.840000,0,13087.750000,0,13426.490000,0,13214.190000,0,13709.540000,0,11827.210000,0,11164.590000,0,60.230000,0,67.240000,0,64.210000,0,67.240000,0,0,0,0,0,68.040000,0,68.820000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abans Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.230000,0,7.640000,0,49.810000,0,51.650000,0,59.260000,0,55.810000,0,1.580000,0,1.490000,0,2.740000,0,24.800000,0,64.550000,0,27.110000,0
Abate A S Inds. Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.450000,0
Abhishek Infraventures Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.170000,0,0.870000,0,0.920000,0,0.800000,0,0.060000,0,1.100000,0,1.210000,0,0,0,1.230000,0
Accedere Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000,0,0,0,0.010000,0,0.030000,0,0.050000,0,0.050000,0,0.010000,0,0,0,0,0,0,0,0,0,0.290000,0,0.160000,0
Accel Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.190000,0,0.300000,0,16.650000,0,55.750000,0,63.010000,0,56.710000,0,57.300000,0,53.800000,0,52.000000,0,51.080000,0,53.680000,0,49.680000,0,42.960000,0
Accelya Solutions India Ltd.,0,0,0,0,0.440000,0,0,0,0.070000,0,0.030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.260000,0,39.870000,0,34.260000,0,29.040000,0,20.720000,0,14.130000,0,6.860000,0,3.640000,0,2.330000,0,24.710000,0,20.000000,0,41.230000
Ace Software Exports Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340000,0,1.390000,0,1.230000,0,1.790000,0,1.710000,0,1.600000,0,1.560000,0,1.460000,0,0,0,0,0,0,0,3.240000,0,0.760000,0
Acme Resources Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ad-Manum Finance Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adani Enterprises Ltd.,0,0,0,0,0,0,0,48894.300000,0,57113.340000,0,48850.130000,0,54962.340000,0,49584.230000,0,55364.940000,0,55486.760000,0,5157.530000,0,7009.040000,0,7455.800000,0,9173.330000,0,10869.260000,0,4272.980000,0,2948.240000,0,2992.220000,0,2300.750000,0,3515.810000,0,5638.450000,0,9523.300000,0,16160.360000,0,21320.050000,0,27248.390000,0,46174.580000,0,48179.000000,0,57637.840000,0,67621.630000,0,78831.520000,0
Adani Ports & Special Economic Zone Ltd.,0,0,0,0,0,0,0,15446.240000,0,18672.030000,0,10257.500000,0,11633.340000,0,11288.410000,0,15261.550000,0,13849.780000,0,12243.200000,0,15819.670000,0,15669.980000,0,17993.240000,0,18586.000000,0,20628.970000,0,20452.280000,0,19883.320000,0,26181.630000,0,26181.330000,0,33974.910000,0,33651.280000,0,39434.540000,0,41675.260000,0,42568.930000,0,49204.230000,0,44207.100000,0,40616.210000,0,44228.520000,0,41220.290000,0
Adani Power Ltd.,0,0,0,0,0,0,0,29584.830000,0,33663.150000,0,33191.600000,0,34852.280000,0,33131.480000,0,33766.050000,0,35089.660000,0,34077.580000,0,35417.550000,0,36212.430000,0,36650.610000,0,38179.690000,0,34559.850000,0,32732.260000,0,36410.270000,0,40537.650000,0,44566.340000,0,41114.050000,0,40056.570000,0,40202.150000,0,37965.680000,0,34741.010000,0,33790.920000,0,25221.510000,0,26738.120000,0,29114.980000,0,28741.000000,0
Addi Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060000,0,0.050000,0,0.060000,0,0,0,0,0
Adhata Global Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Birla Money Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Birla Real Estate Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713.780000,0,28.860000,0,565.360000,0,815.830000,0,885.590000,0,889.160000,0,400.280000,0,208.490000,0,418.430000,0,1760.650000,0,2373.590000,0,3385.380000,0,3708.600000,0
Aditya Birla Sun Life A M C Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Forge Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611.850000,0,0,0,0,0,0,0,8.030000,0,8.160000,0,8.330000,0,11.300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Infotech Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ador Multiproducts Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060000,0,0.060000,0,0.030000,0,0,0,0,0,0,0,0,0
Ador Welding Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.060000,0,1.050000,0,1.870000,0,1.910000,0,0,0,0,0,1.860000,0,1.580000,0,1.610000,0
Adroit Infotech Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.960000,0,4.350000,0,1.310000,0,3.170000,0,0.260000,0,0.240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390000,0,0,0,0.900000,0,0.950000,0,0.990000,0,1.250000,0,1.120000,0,-1.820000,0,1.230000,0
Advance Lifestyles Ltd.,0,0,0,0,0,0,0,0,0,181.060000,0,78.310000,0,0,95.600000,83.340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Enzyme Technologies Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.600000,0,13.840000,0,19.490000,0,23.840000,0,19.830000,0,14.890000,0,7.050000,0,15.680000,0,11.980000,0,7.810000,0,13.790000,0,10.300000,0,26.480000,0,26.220000,0,22.380000,0,21.480000,0,22.820000,0,21.370000,0,20.910000,0
Advani Hotels & Resorts (India) Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advik Capital Ltd.,0,0,0,0,0,0,0,0,0,0,0,0.150000,0,0.120000,0,0.070000,3.150000,0,0,3.730000,3.870000,0,0,3.390000,0,0.100000,0,3.720000,0,4.150000,0,1.340000,0,0.820000,0,0,0,0.020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegis Logistics Ltd.,0,0,0,95.870000,0,0,0,85.360000,0,102.270000,0,118.230000,0,108.000000,0,109.180000,0,116.420000,0,131.520000,0,117.110000,0,109.110000,0,80.470000,0,77.370000,0,59.360000,0,61.960000,0,82.690000,0,56.570000,0,86.140000,0,48.500000,0,48.900000,0,400.910000,0,379.620000,0,476.970000,0,1417.070000,0,1832.040000,0,2202.400000,0,2351.290000,0,3971.640000,0,3939.160000,0
Aeonx Digital Technology Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.010000,0,1.220000,0,2.210000,0,1.190000,0,0,0,0,0,0,0,5.990000,0,6.020000,0,3.270000,0,4.170000,0,3.520000,0,0.540000,0,0,0,0.930000,0,0.800000,0,0.410000,0,0.400000,0
Aeroflex Enterprises Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.700000,0,1.550000,0,1.550000,0,1.410000,0,46.350000,0,41.570000,0,42.770000,0,38.190000,0,41.110000,0,36.450000,0,29.440000,0,22.450000,0,46.670000,0,28.270000,0,8.690000,0,10.160000,0,8.280000,0,6.000000,0
Aeroflex Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.690000,0,0.120000,0,0.060000,0,0.620000,0,0.330000,0
Aeroflex Neu Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.460000,0,8.450000,0,7.130000,0,7.130000,0,4.240000,0
Afcons Infrastructure Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.840000,0,643.500000,0,653.520000,0
Affle 3I Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.920000,0,13.780000,0,30.070000,0,70.930000,0,90.070000,0,124.210000,0,89.130000,0,73.300000,0,53.910000,0,144.520000,0,76.480000,0,36.260000,0,12.770000,0
Agri-Tech (India) Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agribio Spirits Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630000,0,2.070000,0,2.430000,0,9.870000,0,1.870000,0
Ahluwalia Contracts (India) Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630000,0,0.530000,0,42.410000,0,44.260000,0,48.990000,0,49.080000,0,49.990000,0,51.170000,0,52.170000,0,54.050000,0,57.200000,0,58.970000,0,61.520000,0
Aimco Pesticides Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.950000,0,1.470000,0,2.850000,0,2.080000,0,0.010000,0,0.070000,0,0.470000,0,0.930000,0,3.490000,0,2.540000,0,1.580000,0,0.650000,0
Aion-Tech Solutions Ltd.,0,0,0,15.690000,0,14.540000,0,0,0,6.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160000,0,0.150000,0,0.080000,0,0.120000,0,0.280000,0,0.210000,0,0.130000,0,0.080000,0,0,0,0,0,0,0,0,0,3.660000,0,3.340000,0,5.020000,0,4.540000,0,3.910000,0
Airan Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.330000,0,6.170000,0,6.000000,0,0,0,0.220000,0,0,0,1.750000,0,1.750000,0,1.750000,0,1.750000,0,0,0,0,0,0,0
Ajanta Pharma Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.250000,0,24.160000,0,14.870000,0,1.490000,0,1.040000,0,1.030000,0,1.010000,0,0.670000,0,0.660000,0,35.500000,0,12.710000,0,11.870000,0,19.770000,0,18.170000,0,18.570000,0,22.190000,0,26.200000,0,22.470000,0,23.520000,0,21.540000,0,34.720000,0
Ajcon Global Services Ltd.,0,0,0,0.180000,0,0,0,0.140000,0,0,0,0,0,0,0,0.190000,0,0,0,0.060000,0,0,0,0.500000,0,0.620000,0,0.580000,0,0.520000,0,0.460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
